Key,Description,CN,EN
SAY.FungusFlow.142.安德烈,,阳光令森林更加美丽了。,"The sunshine, with no doubt, makes the forest even more beautiful."
SAY.FungusFlow.214.安德烈,,你认识马丁？,Do You know Martin O'Neill?
SAY.FungusFlow.215.丹尼,,马丁在鲁米诺生活了30年，他是鲁米诺所有居民的朋友，包括我的主人在内。,"Yes. Martin had lived in Luminor for over 30 years. He was a friend of all residents of Luminor, including my master."
SAY.FungusFlow.216.丹尼,,他是闯入鲁米诺的第一个人类，起初我的主人对此十分不满。,"He was the first human to break into Luminor by chance, and at first, my master was very dissatisfied with it."
SAY.FungusFlow.217.丹尼,,马丁是个勇敢善良的人，他帮助并教导我们，带我们了解鲁米诺之外的世界。,But Martin was a brave and kind person who helped and taught us to learn the world outside Luminor.
SAY.FungusFlow.218.丹尼,,我的主人也逐渐改变了他最初的看法，他同意马丁在这里生活。,"My master had gradually changed his initial opinion, and he agreed that Martin could stay here."
SAY.FungusFlow.219.丹尼,,他的离去对我们来说是一个巨大的损失。,His departure is a tremendous loss for us.
SAY.FungusFlow.220.丹尼,,我想其他居民们会非常伤心的。,We all gonna be downcast towards the news.
SAY.FungusFlow.224.安德烈,,你提到了你的主人，他是鲁米诺的拥有者吗？,"You mentioned your master, is he the owner of Luminor?"
SAY.FungusFlow.225.丹尼,,是的，安德烈。他叫塞恩，他是一个神。,"Yes, Andre. He calls himself Thain, and he is actually an ancient god with great powers."
SAY.FungusFlow.226.安德烈,,他是一个神？,He is a god?
SAY.FungusFlow.227.丹尼,,是的，但是他的永生带给了他孤独。,"Aye, but his immortal brings the eternal loneliness in his soul."
SAY.FungusFlow.228.丹尼,,因此他创造了鲁米诺，又模仿地球生物的模样，创造了我和其他居民。,"So he created Luminor and created me, and other residents with similar appearances of creatures on the Earth."
SAY.FungusFlow.229.丹尼,,但他同时又是冷漠和易怒的，大多数时候他对我们不闻不问。,"But indifferent and irritable, most of the time he didn't care about us."
SAY.FungusFlow.230.丹尼,,我认为很多居民实际上害怕他。,Many of us were actually afraid of him.
SAY.FungusFlow.285.丹尼,,他的化身之一是山羊，在人类的世界，你们似乎称呼他为“山羊人”。,"One of his incarnations takes after a goat. In your world, people seem to call him a ""Goatman."""
SAY.FungusFlow.286.丹尼,,的确，我在森林入口处看见了山羊人，那就是塞恩？,"Indeed, I saw a goatlike man at the entrance to the forest, that's him?"
SAY.FungusFlow.287.丹尼,,实际上，那不是塞恩，我的主人至今仍未离开过鲁米诺。,"In fact, that wasn't Thain, my master still hasn't left Luminor yet. "
SAY.FungusFlow.288.丹尼,,塞恩创造了一群胆小的土拨鼠，但他们能变幻成强大生物的模样，以保护自己。,"Thain created a group of timid marmots, which can change appearances into something frightening and powerful to protect themselves."
SAY.FungusFlow.289.丹尼,,当格里姆小镇有收获日的时候，他们总是喜欢变成塞恩的模样，去偷吃一些美食。,"When Grim Town celebrates the Harvest Day, they prefer to camouflage themselves, disguise as Thain, to steal some food."
SAY.FungusFlow.290.丹尼,,鲁米诺的动物居民们真是神奇啊。,"Wow, that's amazing."
SAY.FungusFlow.247.丹尼,,你好，安德烈。,"Nice to meet you, Andre."
MENU.FungusFlow.250,,马丁,Martin O'Neill
MENU.FungusFlow.251,,主人,Master
MENU.FungusFlow.252,,鲁米诺的朋友,Friends at Luminor
MENU.FungusFlow.306,,木杖,The staff
SAY.FungusFlow.255.安德烈,,马丁提到他很担心在鲁米诺的朋友们。我好奇我该怎么做才能完成他的遗愿。,Mr. O'Neill mentioned that he was quite worried about his friends at Luminor. I wanna see what I could do to help him.
SAY.FungusFlow.256.丹尼,,马丁是所有鲁米诺居民的朋友，他在7年之前突然离开了鲁米诺，我们都很失落。,Martin was a friend of all Luminor's residents. His sudden leaving 7 years ago begot gloom among us.
SAY.FungusFlow.257.丹尼,,鲁米诺失去了马丁之后，萧瑟破败了许多。,The mood went somber and bleak. Luminor has once again become forgotten and isolated.
SAY.FungusFlow.258.丹尼,,还有很多像我一样的居民们，对马丁逝世的消息一无所知。,There're still many dwellers who know zero about the news of Martin's death.
SAY.FungusFlow.307.丹尼,,他们在这7年间一直处于消极的状态。,They've been in a sorrowful and downcast state for the past 7 years.
SAY.FungusFlow.259.丹尼,,我想马丁将鲁米诺的位置分享于你，也是希望你能重新让鲁米诺恢复生机吧。,Martin must be hoping that you could bring Luminor back to life when sharing the position with you.
SAY.FungusFlow.260.安德烈,,我想我可以试试看。,"Okay, I guess I can give it a try."
SAY.FungusFlow.261.丹尼,,马丁曾经居住的木屋就在前方，请不要拘束，你可以在那里住下。,"The log cabin where Martin once lived is in front, you're welcome to stay there at any time."
SAY.FungusFlow.262.丹尼,,他离开之前，留下了在这里使用的木杖。,"Before he departed, Martin left his staff here. I believe it's still in the cabin."
